ts,evento,detalle
2026-09-13T02:07:17.065000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:07:20.915452+00:00,k6_fin,codigo_salida=0
2026-09-13T02:07:27.891803+00:00,target_healthy,instancia=945d7c1506b8428d8c2db9e209431cba;ip=10.0.1.65;estado=healthy;razon=
2026-09-13T02:07:27.463000+00:00,tarea_nueva,instancia=35c0fc2c94d34e469c1df4fb085e85dc
2026-09-13T02:07:47.959657+00:00,target_retirado,instancia=3d78f555903e4ba6864a3078eee1e4ad;ip=10.0.1.178
2026-09-13T02:07:55.364341+00:00,target_estado_inicial,instancia=35c0fc2c94d34e469c1df4fb085e85dc;ip=10.0.0.126;estado=initial;razon=Elb.RegistrationInProgress
2026-09-13T02:07:57.589361+00:00,target_healthy,instancia=35c0fc2c94d34e469c1df4fb085e85dc;ip=10.0.0.126;estado=healthy;razon=
2026-09-13T02:07:55.106000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) registered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438:t
2026-09-13T02:08:04.335000+00:00,tarea_detenida,instancia=e54e5207ab974d9f894ca3f6104a5ab6
2026-09-13T02:08:04.202000+00:00,ecs_evento,mensaje=(service expd03-originacion) (task e54e5207ab974d9f894ca3f6104a5ab6) (port 8080) is unhealthy in (target-group arn:aws:e
2026-09-13T02:08:14.295645+00:00,target_draining,instancia=e54e5207ab974d9f894ca3f6104a5ab6;ip=10.0.0.214;estado=draining;razon=Target.DeregistrationInProgress
2026-09-13T02:08:13.993000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:08:13.916000+00:00,ecs_evento,"mensaje=(service expd03-originacion, taskSet ecs-svc/3559820735141730004) has begun draining connections on 1 tasks."
2026-09-13T02:08:13.911000+00:00,ecs_target_registrado,mensaje=(service expd03-originacion) deregistered 1 targets in (target-group arn:aws:elasticloadbalancing:us-east-1:366451245438
2026-09-13T02:08:23.394000+00:00,servicio_estable,mensaje=(service expd03-originacion) has reached a steady state.
2026-09-13T02:08:44.460290+00:00,target_retirado,instancia=e54e5207ab974d9f894ca3f6104a5ab6;ip=10.0.0.214
